notation,years_present,n,p_diss,p_total,suggested_fraction
2861,2,9,0.0,0.0,unspecified
2862,2,9,0.0,0.0,unspecified
2863,2,9,0.0,0.0,unspecified
2864,2,9,0.0,0.0,unspecified
2865,2,9,0.0,0.0,unspecified
2866,2,9,0.0,0.0,unspecified
2901,2,9,0.0,0.0,unspecified
2902,2,9,0.0,0.0,unspecified
2903,2,9,0.0,0.0,unspecified
2904,2,9,0.0,0.0,unspecified
2906,2,9,0.0,0.0,unspecified
2907,2,9,0.0,0.0,unspecified
2908,2,9,0.0,0.0,unspecified
2909,2,9,0.0,0.0,unspecified
2910,2,9,0.0,0.0,unspecified
2911,2,9,0.0,0.0,unspecified
2912,2,9,0.0,0.0,unspecified
2913,2,9,0.0,0.0,unspecified
2914,2,9,0.0,0.0,unspecified
2915,2,9,0.0,0.0,unspecified
2916,2,9,0.0,0.0,unspecified
2918,2,9,0.0,0.0,unspecified
2998,2,9,0.0,0.0,unspecified
3003,2,9,0.0,0.0,unspecified
3005,2,9,0.0,0.0,unspecified
3006,2,9,0.0,0.0,unspecified
3011,2,9,0.0,0.0,unspecified
3012,2,9,0.0,0.0,unspecified
3014,2,9,0.0,0.0,unspecified
3015,2,9,0.0,0.0,unspecified
3016,2,9,0.0,0.0,unspecified
3029,2,9,0.0,0.0,unspecified
3031,2,9,0.0,0.0,unspecified
3032,2,9,0.0,0.0,unspecified
3033,2,9,0.0,0.0,unspecified
3034,2,9,0.0,0.0,unspecified
3035,2,9,0.0,0.0,unspecified
3036,2,9,0.0,0.0,unspecified
3037,2,9,0.0,0.0,unspecified
3846,2,7,0.0,0.0,unspecified
8342,2,7,0.0,0.0,unspecified
9199,2,7,0.0,0.0,unspecified
4753,2,6,0.0,0.0,unspecified
4755,2,6,0.0,0.0,unspecified
3849,2,5,0.0,0.0,unspecified
5733,2,5,0.0,0.0,unspecified
5736,2,5,0.0,0.0,unspecified
7138,2,5,1.0,0.0,dissolved
7341,2,5,1.0,0.0,dissolved
8943,2,5,0.0,0.0,unspecified
9809,2,5,1.0,0.0,dissolved
179,2,4,0.0,0.0,unspecified
6030,2,4,0.0,0.0,unspecified
8395,2,4,0.0,1.0,total
9166,2,4,0.0,0.0,unspecified
8104,2,3,0.0,0.0,unspecified
8743,2,3,0.0,0.0,unspecified
1066,2,2,0.0,0.0,unspecified
2976,2,2,0.0,0.0,unspecified
3170,2,2,0.0,0.0,unspecified
4370,1,162,0.0,0.0,unspecified
3653,1,46,0.0,0.0,unspecified
3654,1,46,0.0,0.0,unspecified
3655,1,46,0.0,0.0,unspecified
3678,1,46,0.0,0.0,unspecified
3679,1,46,0.0,0.0,unspecified
3684,1,46,0.0,0.0,unspecified
3685,1,46,0.0,0.0,unspecified
3686,1,46,0.0,0.0,unspecified
3687,1,46,0.0,0.0,unspecified
3688,1,46,0.0,0.0,unspecified
3689,1,46,0.0,0.0,unspecified
3690,1,46,0.0,0.0,unspecified
3691,1,46,0.0,0.0,unspecified
3692,1,46,0.0,0.0,unspecified
3693,1,46,0.0,0.0,unspecified
3696,1,46,0.0,0.0,unspecified
3699,1,46,0.0,0.0,unspecified
3704,1,46,0.0,0.0,unspecified
3705,1,46,0.0,0.0,unspecified
3706,1,46,0.0,0.0,unspecified
3707,1,46,0.0,0.0,unspecified
3708,1,46,0.0,0.0,unspecified
3709,1,46,0.0,0.0,unspecified
3710,1,46,0.0,0.0,unspecified
3711,1,46,0.0,0.0,unspecified
3712,1,46,0.0,0.0,unspecified
3713,1,46,0.0,0.0,unspecified
3714,1,46,0.0,0.0,unspecified
3715,1,46,0.0,0.0,unspecified
3716,1,46,0.0,0.0,unspecified
3717,1,46,0.0,0.0,unspecified
3718,1,46,0.0,0.0,unspecified
7379,1,46,0.0,0.0,unspecified
2980,1,36,0.0,0.0,unspecified
5031,1,33,0.0,0.0,unspecified
3449,1,29,0.0,1.0,total
167,1,15,0.0,0.0,unspecified
2323,1,15,0.0,0.0,unspecified
2325,1,15,0.0,0.0,unspecified
3346,1,15,0.0,0.0,unspecified
3656,1,14,0.0,0.0,unspecified
3454,1,12,0.0,0.0,unspecified
6564,1,11,0.0,0.0,unspecified
5548,1,10,0.0,0.0,unspecified
28,1,8,0.0,0.0,unspecified
2870,1,8,0.0,0.0,unspecified
3018,1,8,0.0,0.0,unspecified
3024,1,8,0.0,0.0,unspecified
3017,1,7,0.0,0.0,unspecified
3818,1,7,0.0,0.0,unspecified
4907,1,7,0.0,0.0,unspecified
8735,1,7,0.0,0.0,unspecified
191,1,6,1.0,0.0,dissolved
2859,1,6,0.0,0.0,unspecified
2860,1,6,0.0,0.0,unspecified
2917,1,6,0.0,0.0,unspecified
3258,1,6,0.0,0.0,unspecified
4005,1,6,0.0,0.0,unspecified
4006,1,6,0.0,0.0,unspecified
4007,1,6,0.0,0.0,unspecified
4008,1,6,0.0,0.0,unspecified
4009,1,6,0.0,0.0,unspecified
4011,1,6,0.0,0.0,unspecified
4012,1,6,0.0,0.0,unspecified
4015,1,6,0.0,0.0,unspecified
4016,1,6,0.0,0.0,unspecified
4023,1,6,0.0,0.0,unspecified
4031,1,6,0.0,0.0,unspecified
4032,1,6,0.0,0.0,unspecified
4147,1,6,0.0,0.0,unspecified
8195,1,6,0.0,0.0,unspecified
8196,1,6,0.0,0.0,unspecified
8198,1,6,0.0,0.0,unspecified
8199,1,6,0.0,0.0,unspecified
8200,1,6,0.0,0.0,unspecified
8201,1,6,0.0,0.0,unspecified
8202,1,6,0.0,0.0,unspecified
8203,1,6,0.0,0.0,unspecified
8204,1,6,0.0,0.0,unspecified
8205,1,6,0.0,0.0,unspecified
8206,1,6,0.0,0.0,unspecified
8207,1,6,0.0,0.0,unspecified
8208,1,6,0.0,0.0,unspecified
8209,1,6,0.0,0.0,unspecified
8210,1,6,0.0,0.0,unspecified
8211,1,6,0.0,0.0,unspecified
8220,1,6,0.0,0.0,unspecified
8697,1,6,0.0,0.0,unspecified
8698,1,6,0.0,0.0,unspecified
8699,1,6,0.0,0.0,unspecified
8700,1,6,0.0,0.0,unspecified
8701,1,6,0.0,0.0,unspecified
8702,1,6,0.0,0.0,unspecified
8703,1,6,0.0,0.0,unspecified
8704,1,6,0.0,0.0,unspecified
8705,1,6,0.0,0.0,unspecified
8706,1,6,0.0,0.0,unspecified
8707,1,6,0.0,0.0,unspecified
8708,1,6,0.0,0.0,unspecified
8709,1,6,0.0,0.0,unspecified
8710,1,6,0.0,0.0,unspecified
8711,1,6,0.0,0.0,unspecified
8712,1,6,0.0,0.0,unspecified
8722,1,6,0.0,0.0,unspecified
1093,1,5,0.0,0.0,unspecified
1110,1,5,0.0,0.0,unspecified
1112,1,5,0.0,0.0,unspecified
1113,1,5,0.0,0.0,unspecified
1114,1,5,0.0,0.0,unspecified
3951,1,5,0.0,0.0,unspecified
3952,1,5,0.0,0.0,unspecified
3953,1,5,0.0,0.0,unspecified
3956,1,5,0.0,0.0,unspecified
3983,1,5,0.0,0.0,unspecified
4108,1,5,0.0,0.0,unspecified
4109,1,5,0.0,0.0,unspecified
4110,1,5,0.0,0.0,unspecified
4409,1,5,0.0,0.0,unspecified
4754,1,5,0.0,0.0,unspecified
4790,1,5,0.0,0.0,unspecified
4892,1,5,0.0,0.0,unspecified
7315,1,5,0.0,0.0,unspecified
7334,1,5,0.0,0.0,unspecified
7930,1,5,0.0,0.0,unspecified
7932,1,5,0.0,0.0,unspecified
7933,1,5,0.0,0.0,unspecified
7934,1,5,0.0,0.0,unspecified
8251,1,5,0.0,0.0,unspecified
8252,1,5,0.0,0.0,unspecified
8253,1,5,0.0,0.0,unspecified
8254,1,5,0.0,0.0,unspecified
8255,1,5,0.0,0.0,unspecified
8256,1,5,0.0,0.0,unspecified
8257,1,5,0.0,0.0,unspecified
8258,1,5,0.0,0.0,unspecified
8259,1,5,0.0,0.0,unspecified
8260,1,5,0.0,0.0,unspecified
8261,1,5,0.0,0.0,unspecified
8262,1,5,0.0,0.0,unspecified
8263,1,5,0.0,0.0,unspecified
8264,1,5,0.0,0.0,unspecified
8265,1,5,0.0,0.0,unspecified
8266,1,5,0.0,0.0,unspecified
8267,1,5,0.0,0.0,unspecified
8268,1,5,0.0,0.0,unspecified
8269,1,5,0.0,0.0,unspecified
8270,1,5,0.0,0.0,unspecified
8271,1,5,0.0,0.0,unspecified
8272,1,5,0.0,0.0,unspecified
8274,1,5,0.0,0.0,unspecified
8275,1,5,0.0,0.0,unspecified
8276,1,5,0.0,0.0,unspecified
8277,1,5,0.0,0.0,unspecified
8278,1,5,0.0,0.0,unspecified
8279,1,5,0.0,0.0,unspecified
8280,1,5,0.0,0.0,unspecified
8281,1,5,0.0,0.0,unspecified
8282,1,5,0.0,0.0,unspecified
8283,1,5,0.0,0.0,unspecified
8284,1,5,0.0,1.0,total
8285,1,5,0.0,0.0,unspecified
8286,1,5,0.0,0.0,unspecified
8372,1,5,0.0,0.0,unspecified
9912,1,5,0.0,0.0,unspecified
9980,1,5,0.0,0.0,unspecified
3847,1,4,0.0,0.0,unspecified
3856,1,4,0.0,0.0,unspecified
3357,1,3,0.0,0.0,unspecified
3358,1,3,0.0,0.0,unspecified
3413,1,3,0.0,0.0,unspecified
4378,1,3,0.0,0.0,unspecified
4379,1,3,0.0,0.0,unspecified
4380,1,3,0.0,0.0,unspecified
4381,1,3,0.0,0.0,unspecified
4798,1,3,0.0,0.0,unspecified
4799,1,3,0.0,0.0,unspecified
4800,1,3,0.0,0.0,unspecified
5717,1,3,0.0,0.0,unspecified
5718,1,3,0.0,0.0,unspecified
5719,1,3,0.0,0.0,unspecified
5724,1,3,0.0,0.0,unspecified
5725,1,3,0.0,0.0,unspecified
5726,1,3,0.0,0.0,unspecified
8456,1,3,0.0,0.0,unspecified
9432,1,3,0.0,0.0,unspecified
9440,1,3,0.0,0.0,unspecified
3116,1,2,0.0,0.0,unspecified
3120,1,2,0.0,0.0,unspecified
3807,1,2,0.0,0.0,unspecified
3808,1,2,0.0,0.0,unspecified
3865,1,2,0.0,0.0,unspecified
3866,1,2,0.0,0.0,unspecified
4770,1,2,0.0,0.0,unspecified
7170,1,2,0.0,0.0,unspecified
7235,1,2,0.0,0.0,unspecified
8068,1,2,0.0,0.0,unspecified
8076,1,2,0.0,1.0,total
8078,1,2,0.0,0.0,unspecified
8079,1,2,0.0,0.0,unspecified
8313,1,2,0.0,0.0,unspecified
8314,1,2,0.0,0.0,unspecified
8315,1,2,0.0,0.0,unspecified
8316,1,2,0.0,0.0,unspecified
8317,1,2,0.0,0.0,unspecified
8318,1,2,0.0,0.0,unspecified
8319,1,2,0.0,0.0,unspecified
8320,1,2,0.0,0.0,unspecified
8321,1,2,0.0,0.0,unspecified
8733,1,2,0.0,1.0,total
8736,1,2,0.0,0.0,unspecified
8742,1,2,0.0,0.0,unspecified
8837,1,2,0.0,0.0,unspecified
8869,1,2,0.0,0.0,unspecified
8870,1,2,0.0,0.0,unspecified
8871,1,2,0.0,0.0,unspecified
8917,1,2,0.0,0.0,unspecified
8974,1,2,0.0,0.0,unspecified
8976,1,2,0.0,0.0,unspecified
8977,1,2,0.0,0.0,unspecified
9357,1,2,1.0,0.0,dissolved
164,1,1,0.0,0.0,unspecified
171,1,1,0.0,0.0,unspecified
186,1,1,0.0,0.0,unspecified
3064,1,1,0.0,0.0,unspecified
3138,1,1,0.0,0.0,unspecified
3139,1,1,0.0,0.0,unspecified
3140,1,1,0.0,0.0,unspecified
3322,1,1,0.0,0.0,unspecified
3336,1,1,0.0,0.0,unspecified
3338,1,1,0.0,0.0,unspecified
3339,1,1,0.0,0.0,unspecified
3435,1,1,0.0,0.0,unspecified
3448,1,1,0.0,0.0,unspecified
3683,1,1,0.0,1.0,total
3778,1,1,0.0,0.0,unspecified
3789,1,1,0.0,0.0,unspecified
4771,1,1,0.0,0.0,unspecified
5861,1,1,0.0,0.0,unspecified
5883,1,1,0.0,0.0,unspecified
5884,1,1,0.0,0.0,unspecified
6461,1,1,0.0,0.0,unspecified
6666,1,1,0.0,0.0,unspecified
68,1,1,0.0,0.0,unspecified
7016,1,1,0.0,0.0,unspecified
7198,1,1,0.0,1.0,total
7199,1,1,0.0,1.0,total
7201,1,1,0.0,1.0,total
7204,1,1,0.0,1.0,total
7833,1,1,0.0,1.0,total
7904,1,1,0.0,0.0,unspecified
7996,1,1,0.0,1.0,total
7999,1,1,0.0,1.0,total
8000,1,1,0.0,1.0,total
8212,1,1,0.0,1.0,total
8213,1,1,0.0,1.0,total
8214,1,1,0.0,1.0,total
8215,1,1,0.0,1.0,total
8216,1,1,0.0,1.0,total
8217,1,1,0.0,1.0,total
8218,1,1,0.0,1.0,total
8219,1,1,0.0,1.0,total
8238,1,1,0.0,0.0,unspecified
8387,1,1,0.0,1.0,total
9039,1,1,0.0,1.0,total
9260,1,1,0.0,0.0,unspecified
9466,1,1,0.0,0.0,unspecified
9467,1,1,0.0,0.0,unspecified
9468,1,1,0.0,0.0,unspecified
9925,1,1,0.0,0.0,unspecified
